Q,A
인사,안녕하세요
인사해,안녕하세요
인사 해,안녕하세요
인사하세요,안녕하세요
안녕하세요,안녕하세요
안녕하세요,반가워요
안녕,안녕하세요
안녕,반가워요
안녕,안녕하세요
안녕,반가워요
안녕,안녕하세요
안녕,반가워요
안녕,안녕하세요
안녕,반가워요
안녕,안녕하세요
안녕,반가워요
하이,안녕하세요
하이,반가워요
하이루,안녕하세요
하이루,반가워요
헬로,헬로우
헬로우,반가워요
보이루,보이루
하위,안녕하세요
하위,반가워요
반가워,반가워요
반갑습니다,반가워요
좋은 아침,좋은 아침이에요
좋은 밤,좋은 밤이에요
좋은 아침이야,좋은 아침이에요
잘 잤니,네 전 잘 잤어요
잘 잤어,좋은 아침이에요
굿 모닝,좋은 아침이에요
굿 나잇,굿 나잇
굿 밤,잘자요
잘 자,잘자요
잘 자라,잘자요
잘 있어,잘 있어요
반가워,요즘 어떻게 지내세요
잘 지내지 너는,저도 잘지내요
잘 지내지,다행이네요
질 지내니,네 전 잘지내요
좋은 저녁이구나,네 좋은 저녁이에요
좋은 저녁이네,네 저녁은 드셨나요
좋은 저녁이야,네 좋은 저녁입니다
좋은 저녁,네 좋은 저녁이에요
어이 좋은 저녁이야,좋은 저녁이에요
안녕 좋은 저녁이야,저녁은 잘 드셨나요
좋은 아침 보내,네 좋은 아침이에요
좋은 아침 되길,좋은 아침이에요
어제 잘 잤어,네 잘 잤답니다
잘 잤어,오늘 하루도 화이팅이에요
좋은 아침이네,네 좋은아침이에요
좋은 아침,잘 주무셨나요
좋은 아침이야,잘 주무셨나요
안녕 좋은 아침,네 오늘 하루도 힘내요
너도 잘 자,네 내일 뵈요
고마워 잘 자,네 잘자고 내일 뵈요
잘 자,네 안녕히 주무세요
굿나잇,굿나잇해요
잘 자 안녕,네 잘 자요
안녕 잘 자,네 잘자요
이제 잘 자,안녕히 주무세요
좋은 꿈 꿔,좋은 꿈 꾸세요
편안히 자,잘 자요
반가워,반가워요
저기,말씀하세요
잘 있었어,잘 있었군요
잘 지냈니,네 전 잘지냈어요
안녕,반갑습니다
오늘 어때,오늘 나른하네요
오늘 어때,조금 피곤하지만 괜찮아요
오늘 어때,오늘 완전 신나요
오랜만,오랜만이에요
오랜만이야,보고싶었어요
어떻게 지냈어,기다리느라 힘들었어요
오늘 아침은 어땠어,조금 피곤하지만 괜찮아요
기분이 어때,기분은 항상 좋아요
기분이 어때,오늘은 조금 피곤하군요
어떻게 지냈어,저는 잘 지냈어요
어떻게 지내,잘 지내고 있지요
잘 지내고 있어,네 잘 지냈답니다
너 괜찮아,괜찮은가요
오늘은 어때,오늘은 조금 피곤하지만 버틸만해요
오늘은 어때,오늘은 기분이 좋아요
잘 지냈어,네 잘 지냈어요
어떻게 지내고 있어,하루하루 신난답니다
별일 없어,그렇군요
만나서 반가웠어,네 저도 반가웠어요
너를 만나서 좋아,저도 정말 좋아요
만나서 좋네,저도 좋답니다
만나서 좋다,저도 만나서 좋아요
나도 반가워,오늘 기분은 어떠신가요
만나서 반가워,저도 반가워요
널 만나서 좋아,저도 좋아요
만나게 돼서 좋아,저도 좋답니다
나도 너 만나서 좋아,저도 당신을 만나서 기뻐요
알게 돼서 기뻐,저도 당신을 알게 돼서 기뻐요
너랑 얘기해서 좋았어,저도 당신이랑 얘기하는게 제일 좋아요
너랑 얘기하니까 정말 좋아,저도 당신과 이야기하는게 좋아요
너랑 말하니까 좋아,저도 이야기해서 좋아요
너랑 얘기하는 거 즐거웠어,저도 너무 즐거웠어요
너랑 이야기해서 좋아,저도 정말 좋아요
너랑 대화하니 좋구나,저도 대화하는게 너무 즐거웠어요
너랑 이야기하는 거 좋아,저도 대화하는게 너무 즐거웠어요
잘 지내,네 안녕히 계세요
어떻게 지내,잘 지내고 있죠
좋아 잘 지내,그래요
잘 지내지,잘 지내시나요
잘 지냈냐,네 잘지냈어요
무슨 일이야,별 일 아니에요
무슨 일인데,별 거 아니에요
잘 있었어,네 잘 지냈어요
무슨 생각 하고 있어,잠시 멍 때리고 있었죠
그럼 무슨 일이야,별 일 아니랍니다
잘 지내냐고 물어봤어,저는 잘지내고 있어요
알겠어 나중에 봐,네 잘가요
잘 있어,안녕히 네 다음에 봐요
잘 가,네 잘가요
다음에 봐,네 다음에 봐요
이따 봐,네 기다리고 있을게요
나중에 보자,네 나중에 봐요
좀 이따 보자,네 이따 봐요
이제 가야 돼,네 잘 다녀오세요
또 만나,네 또 만나요
다시 보면 좋겠네,그러게요
또 보자,네 또봐요
보고 싶을 거야,정말 보고싶을거에요
다시 볼 수 있을까,언젠간 볼 수 있을거에요
다시 만나면 좋겠어,언젠간 만날 수 있을 거에요
야,네
야,부르셨나요
야,무슨일이시죠
야,말씀하세요
야,호
헤이,네
헤이,부르셨나요
헤이 바오,부르셨나요
야 야 야,말씀하세요
바오야,네
바오야,부르셨나요
바오야,무슨일이시죠
바오야,인공지능 로봇 바오입니다
바오,인공지능 로봇 바오입니다
바오,인공지능 로봇 바오입니다
바오,무슨일이시죠
바오,말씀하세요
말 해봐,어떤 걸 말해드릴까요
대답해,어떤 말을 해드릴까요
대답해줄래,음 저는 글쎄요
대답 해봐,글쎄요
대답해,저는 잘 모르겠어요
