question,answer,emotion,intent
안녕,반가워요,happy,인사
반가워,저도 반가워요,happy,인사
안녕하세요,반가워요,happy,인사
안녕,안녕하세요 무슨일있어요?,sad,인사
반가워,안녕하세요 기분이 안좋나요?,sad,인사
안녕하세요,반가워요,sad,인사
안녕,안녕하세요 무슨일있어요?,angry,인사
반가워,안녕하세요 기분이 안좋나요?,angry,인사
안녕하세요,반가워요,angry,인사
배고파,음식을 먹어봐요,normal,잡담
졸려,졸릴땐 누워서 한 숨 자도 좋아요,normal,잡담
목 말라,목이마르시군요 물을 마시면 좋을거에요,normal,잡담
노래 들려줘,노래를 재생해줄게요,normal,노래
노래,노래를 재생해줄게요,normal,노래
음악,음악을 재생해줄게요,normal,노래
음악 들려줘,음악을 재생해줄게요,normal,노래
동요,동요를 재생해줄게요,normal,노래
동요 들려줘,동요를 재생해줄게요,normal,노래
가요,가요는 불러줄수 없어요. 대신 동요를 재생해줄게요,normal,노래
가요 들려줘,가요는 불러줄수 없어요. 대신 동요를 재생해줄게요,normal,노래
