question,intent
안녕 반가워,인사
안녕반가워,인사
안녕,인사
안녕하세요,인사
안녕하세요,인사
오랜만이네,인사
정말 오랜만이다,인사
잘 지냈니,인사
잘 지내고있었니,인사
오랜만이야 정말,인사
진짜 오랜만이다 잘지냈어,인사
반가워,인사
잘지내고 있었니,인사
정말 오랜만이다,인사
방가방가,인사
좋은아침,인사
하이,인사
하이루,인사
하이하이,인사
방가룽,인사
안녕 반가워,인사
안녕반가워,인사
안녕,인사
안녕하세요,인사
안녕하세요,인사
반가워,인사
방가방가,인사
좋은아침,인사
좋아보여,인사
반갑다 정말,인사
하이,인사
하이루,인사
하이하이,인사
방가룽,인사
오늘 날씨 알려줘,날씨
오늘 날씨좀 알려줄래,날씨
내일 날씨 알려줘,날씨
이번 주 날씨 알려줘,날씨
오늘 날씨 어때,날씨
내일 날씨 어때,날씨
이번 주 날씨 어때,날씨
다음 주 날씨 어때,날씨
날씨가 어떻게 돼,날씨
오늘 날씨좀 알려줄수 있니,날씨
내일 날씨 알려줄수 있어,날씨
이번 주 날씨 알려줄래,날씨
다음 주 날씨 알려줘,날씨
이번주 날씨 줘,날씨
다음주 날씨 알려줄래,날씨
오늘 날씨 알려줘,날씨
오늘 날씨좀 알려줄래,날씨
내일 날씨 알려줘,날씨
이번 주 날씨 알려줘,날씨
이번 주 날씨는,날씨
이번 주 광명 날씨 알려줘,날씨
이번 주 울산 날씨 알려줘,날씨
이번 주 평택 날씨 알려줘,날씨
이번 주 광주 날씨 알려줘,날씨
내일 부산 날씨 알려줘,날씨
내일 대구 날씨 알려줘,날씨
내일 대구 날씨 알려줘,날씨
내일 대전 날씨 알려줘,날씨
내일 안산 날씨 알려줘,날씨
내일 군산 날씨 알려줘,날씨
내일 오산 날씨 알려줘,날씨
내일 날씨 뭐야,날씨
내일 전주 날씨 뭐야,날씨
내일 부산 날씨 알려줘,날씨
오늘 금천구 날씨는,날씨
부산 날씨,날씨
원주 날씨 말해줄래,날씨
내일 날씨 알려주라,날씨
오늘 날씨 알려주라,날씨
오늘 날씨 어때,날씨
내일 날씨 어때,날씨
이번 주 날씨 어때,날씨
다음 주 날씨 어때,날씨
날씨가 어떻게 돼,날씨
오늘 날씨좀 알려줄수 있니,날씨
내일 날씨 알려줄수 있어,날씨
이번 주 날씨 알려줄래,날씨
다음 주 날씨 알려줘,날씨
이번주 날씨 줘,날씨
다음주 날씨 알려줄래,날씨
알려줄래,위키
알려주라,위키
알려주세요,위키
알려주실까요,위키
알려주라,위키
알려줘,위키
궁금해,위키
궁금하군,위키
궁금하네,위키
궁금하고만,위키
궁금하구만,위키
궁금해요,위키
궁금해 죽겠어요,위키
알려줄래,위키
알려주라,위키
알려주세요,위키
알려주실까요,위키
알려주라,위키
알려줘,위키
궁금해,위키
궁금하군,위키
궁금하네,위키
궁금하고만,위키
궁금하구만,위키
궁금해요,위키
궁금해 죽겠어요,위키
윤동주가 누구야,위키
박미선 궁금해,위키
문재인 궁금해,위키
서태지 궁금해,위키
노라조 궁금해,위키
하석주가 누구야,위키
김동주가 누구야,위키
김철수가 누구야,위키
박근혜가 누구야,위키
자장면이 뭐야,위키
전라북도가 뭐야,위키
컴퓨터에 대해서 알려줘,위키
알고리즘에 대해서 알려줘,위키
색종이가 뭐야,위키
소크라테스가 누구야,위키
ARS가 뭐야,위키
컴퓨터가 뭐야,위키
김수성이 누구니,위키
윤보미 나이 알려줘,구글
박신양 몇살이야,구글
박신양 나이 궁금해,구글
박미래 대표작 궁금해,구글
김태희 남편 누구야,구글
전현무 대표작 궁금해,구글
김태희 대표작 궁금해,구글
박신양 와이프 누구야,구글
미국 대통령이 누구야,구글
한국 대통령이 누구야,구글
UN 사무총장 누구야,구글
김수성 나이는 몇살이야,구글
박미선 키 알려주라,구글
안영미 몸무게 알려줘,구글
세상에서 가장 높은 탑이 뭐니,구글
한국의 명소 알려줘,구글
조여정의 대표작이 뭐니,구글
세상에서 제일 높은 산이 뭐야,구글
트럼프 나이 몇살이니,구글
정우성의 대표작이 뭐니,구글
미세먼지 농도 알려줘,먼지
내일 미세먼지 농도,먼지
미세먼지 농도,먼지
다음주 미세먼지 농도,먼지
다음주 미세먼지,먼지
내일 미세먼지,먼지
오늘 미세먼지,먼지
다음주 미세먼지,먼지
다음 주 미세먼지 농도 알려줘,먼지
다다음주 미세먼지 농도 알려줘,먼지
오늘 미세먼지 농도는 어떻게 되니,먼지
내일 미세먼지 농도가 어때,먼지
모레 미세먼지 알려줘,먼지
오늘 미세먼지 농도 어떻게 돼,먼지
모레 먼지 농도 어떻게 돼,먼지
아 배고파,배고파
배고프다,배고파
꼬르륵 소리난다,배고파
진짜 배고파 죽겠네,배고파
배고파 뒤지겠다,배고파
배에서 꼬르륵 소리나,배고파
너무 배고프다 진짜,배고파
아 배고파 죽겠다,배고파
배고파 살려줘,배고파
아 너무 배고프다 살려줘,배고파
밥먹고싶다,배고파
아 밥먹고싶다,배고파
배고파 죽겠네,배고파
아 너무 배고파 진짜로,배고파
아진짜 배고프다,배고파
너무 너무 배고파,배고파
힘들어,고민
요즘 힘들다,고민
너무 힘들어,고민
죽고싶어,고민
요즘 진짜 힘들어,고민
너무 힘들어서 죽고싶어,고민
나 진짜 죽고싶어,고민
나 너무 힘들어 요즘,고민
어떻게 해야해,고민
나 힘들어 도와줘,고민
힘들어 죽겠다 정말,고민
요즘 너무 힘들어서 죽겠어,고민
나 진짜 어떻게 해,고민
나 어떻게 해야해,고민
어떻게 할지 모르겠어,고민
나 어떻게 해야해,고민
나 너무 힘들어서 지쳐,고민
너무 너무 힘들어,고민
어떻게 해야 좋을까,고민
나 너무 힘들다 진짜 고민이 많아,고민
고민이야,고민
나 요즘 고민이 많아,고민
친구문제 떄문에 고민이야,고민
고민이 너무 많아서 문제야,고민
춤춰줘,댄스
제일 좋아하는 춤 춰줄래,댄스
댄스 타임,댄스
제일 좋아하는 댄스 춰줘,댄스
잘추는 춤 줘줘,댄스
춤춰줄수있니,댄스
춤춰주라,댄스
지금은 댄스 타임,댄스
댄스 댄스,댄스
춤 춰주라,댄스
댄스 춰줘,댄스
춤 춰줄수있니,댄스
춤한번 춰볼래,댄스
댄스 한번 보여줘,댄스
춤 한번 보여줘봐,댄스
춤춰볼래,댄스
동화책 읽어줘,동화
동화책 읽어줄수 있니,동화
동화책 읽어주세요,동화
만화책 읽어주세요,동화
동화 내용 읽어줘,동화
동화 들려줘,동화
