더 작게 말해줘,볼륨다운
더 작게 들려줄래,볼륨다운
작게 말해,볼륨다운
작게 말해주라,볼륨다운
조용히 해,볼륨다운
조용히 하라고,볼륨다운
더 작게 말 하라니깐,볼륨다운
더 작게 말해,볼륨다운
볼륨 낮춰,볼륨다운
볼륨 줄여,볼륨다운
소리 줄여,볼륨다운
소리 작게 해줘,볼륨다운
소리 낮춰,볼륨다운
소리 작게 말해,볼륨다운
말 소리 작게 해,볼륨다운
더 작게 말해,볼륨다운
소리 낮춰,볼륨다운
목소리가 크네,볼륨다운
목소리 크구나,볼륨다운
목소리 너무 커,볼륨다운
시끄러워,볼륨다운
시끄러우니까 조용해,볼륨다운
시끄러우니까 조용히 해,볼륨다운
시끄럽다니까,볼륨다운
시끄럽다고,볼륨다운
목소리 너무 큰데,볼륨다운
목소리 너무 큰 거 아니니,볼륨다운
더 작게 말해줘,볼륨다운
더 작게 들려줄래,볼륨다운
작게 말해,볼륨다운
작게 말해주라,볼륨다운
조용히 해,볼륨다운
조용히 하라고,볼륨다운
더 작게 말 하라니깐,볼륨다운
더 작게 말해,볼륨다운
볼륨 낮춰,볼륨다운
볼륨 줄여,볼륨다운
소리 줄여,볼륨다운
소리 작게 해줘,볼륨다운
소리 낮춰,볼륨다운
소리 작게 말해,볼륨다운
말 소리 작게 해,볼륨다운
더 작게 말해,볼륨다운
소리 낮춰,볼륨다운
시끄러워,볼륨다운
시끄러우니까 조용해,볼륨다운
시끄러우니까 조용히 해,볼륨다운
시끄럽다니까,볼륨다운
시끄럽다고,볼륨다운
