question,intent
날씨 좋아,날씨
날씨 죽인다,날씨
날씨 좋을까,날씨
날씨 어때,날씨
날씨 좋니,날씨
날씨 어떠니,날씨
비 오니,날씨
눈 오니,날씨
날씨 비 와,날씨
눈 와,날씨
날씨 맑니,날씨
맑니,날씨
맑아,날씨
구름 꼈니,날씨
바람 부니,날씨
날씨 바람 부니,날씨
비 올까,날씨
눈 올까,날씨
흐릴까,날씨
흐리니,날씨
흐려,날씨
날씨 흐려,날씨
날씨 흐리니,날씨
맑은지 알려줘,날씨
날씨 알려줘,날씨
날씨 좀 알려줄래,날씨
날씨 어떨까,날씨
날씨 어때보여,날씨
날씨 알려주라,날씨
알려줄래 날씨,날씨
알려줘 날씨,날씨
날씨 알려줄래,날씨
날씨 좀 알려줄 수 있겠니,날씨
날씨 어떠니 좋니,날씨
날씨 어떤지 말해줄수 있을까,날씨
이번주 토요일 날씨 어때,날씨
다음 주 날씨 어때,날씨
다음 주 날씨 알려줘,날씨
이번주 날씨 줘,날씨
이번 달 비 오니,날씨
이번 달 눈 오니,날씨
내일 비 오는지 알려줘,날씨
오늘 날씨 맑니,날씨
이번 주 광명 맑니,날씨
오늘 눈 오니,날씨
오늘 눈 오는지 알려줘,날씨
내일 모레 눈 오는지 알려주라,날씨
내일 전주 바람 많이 부니,날씨
내일 날씨 바람 많이 부는지 알려줘,날씨
이번 주 광주 날씨 알려줘,날씨
모레 날씨 알려주라,날씨
원주 날씨 말해줄래,날씨
오늘 대전 날씨 맑니,날씨
모레 안산 날씨 알려줘,날씨
오늘 날씨 뭐야,날씨
모레 전주 날씨 뭐야,날씨
오늘 부산 날씨 알려줘,날씨
오늘 날씨는,날씨
고령 날씨,날씨
나주 날씨 말해줄래,날씨
내일 태백 날씨 알려주라,날씨
창포길 오늘 날씨 흐리니,날씨
덕진로 오늘 날씨 어때,날씨
내일 날씨 어때,날씨
이번 주 옥구읍 날씨 어때,날씨
다음 주 장성로 날씨 흐리냐,날씨
가평 날씨 어떻게 돼,날씨
오늘 영월 날씨 좀 알려줄수 있니,날씨
내일 날씨 제주 알려줄수 있어,날씨
오늘 서천 날씨 좀 알려줄수 있니,날씨
내일 날씨 영덕 알려줄수 있어,날씨
이번 주 가로수길 날씨 알려줄래,날씨
구암 다음 주 날씨 알려줘,날씨
이번주 영등포 날씨 줘,날씨
구로 다음주 날씨 알려줄래,날씨
일산 날씨 흐리냐,날씨
오늘 안암 날씨 좀 알려줄수 있니,날씨
이번 주 홍대 날씨 알려줄래,날씨
인천 다음 주 날씨 알려줘,날씨
이번주 보령 날씨 줘,날씨
경주 다음주 날씨 알려줄래,날씨
비왔으면,날씨
비왔으면 좋겠다,날씨
눈 또 와,날씨
눈 많이 왔어,날씨
눈 쌓였어,날씨
눈 좀 안 왔으면,날씨
눈이 너무 많이 와,날씨
또 눈 내려,날씨
비 오냐,날씨
눈 오냐,날씨
우산 써야하니,날씨
우산 써야해,날씨
우산 써야하는지 알려줘,날씨
우산 써야할까,날씨
바람 부냐,날씨
밖에 날씨 어때,날씨
날씨 어떤데,날씨
날씨 맑니,날씨
전주 날씨 맑니,날씨
괴산 날씨 맑니,날씨
오늘 며칠이야,날짜
오늘 날짜,날짜
오늘 날짜 알려줘,날짜
오늘 몇 일이지,날짜
오늘 며칠이야,날짜
며칠이지,날짜
날짜,날짜
날짜 알려줘,날짜
오늘 날짜는,날짜
오늘 무슨 요일이지,날짜
무슨 요일이지,날짜
오늘 무슨 날이지,날짜
무슨 날이야,날짜
오늘 며칠인지 아니,날짜
오늘 요일 아니,날짜
오늘 요일 알려줘,날짜
오늘 날짜 좀 알려줘,날짜
오늘 무슨 날인지 알려줄래,날짜
오늘 며칠인지 알려주라,날짜
오늘 무슨 날이니,날짜
며칠이니,날짜
며칠이야,날짜
오늘 며칠이야,날짜
오늘 날짜,날짜
오늘 날짜 알려줘,날짜
오늘 몇 일이지,날짜
오늘 며칠이야,날짜
며칠이지,날짜
날짜,날짜
날짜 알려줘,날짜
오늘 날짜는,날짜
오늘 무슨 요일이지,날짜
무슨 요일이지,날짜
오늘 무슨 날이지,날짜
무슨 날이야,날짜
오늘 며칠인지 아니,날짜
오늘 요일 아니,날짜
오늘 요일 알려줘,날짜
오늘 날짜 좀 알려줘,날짜
오늘 무슨 날인지 알려줄래,날짜
오늘 며칠인지 알려주라,날짜
오늘 무슨 날이니,날짜
며칠이니,날짜
며칠이야,날짜
오늘 며칠이야,날짜
오늘 날짜,날짜
오늘 날짜 알려줘,날짜
오늘 몇 일이지,날짜
오늘 며칠이야,날짜
며칠이지,날짜
날짜,날짜
날짜 알려줘,날짜
오늘 날짜는,날짜
오늘 무슨 요일이지,날짜
무슨 요일이지,날짜
오늘 무슨 날이지,날짜
무슨 날이야,날짜
오늘 며칠인지 아니,날짜
오늘 요일 아니,날짜
오늘 요일 알려줘,날짜
오늘 날짜 좀 알려줘,날짜
오늘 무슨 날인지 알려줄래,날짜
오늘 며칠인지 알려주라,날짜
오늘 무슨 날이니,날짜
며칠이니,날짜
며칠이야,날짜
오늘 며칠이야,날짜
오늘 날짜,날짜
오늘 날짜 알려줘,날짜
오늘 몇 일이지,날짜
오늘 며칠이야,날짜
며칠이지,날짜
날짜,날짜
날짜 알려줘,날짜
오늘 날짜는,날짜
오늘 무슨 요일이지,날짜
무슨 요일이지,날짜
오늘 무슨 날이지,날짜
무슨 날이야,날짜
오늘 며칠인지 아니,날짜
오늘 요일 아니,날짜
오늘 요일 알려줘,날짜
오늘 날짜 좀 알려줘,날짜
오늘 무슨 날인지 알려줄래,날짜
오늘 며칠인지 알려주라,날짜
오늘 무슨 날이니,날짜
며칠이니,날짜
며칠이야,날짜
사건 전해줘,뉴스
뉴스 알려줘,뉴스
신문 전해줘,뉴스
기사 알려줘,뉴스
신문 알려줄래,뉴스
기사 들려줘,뉴스
뉴스 ,뉴스
최근 뉴스 들려줘,뉴스
속보 뉴스 알려줘,뉴스
주요 뉴스 알려줘,뉴스
핫한 뉴스 알려줄래,뉴스
요즘 소식 전해줘,뉴스
뉴스 뭐니,뉴스
뉴스 나왔니,뉴스
뉴스 나왔었니,뉴스
티비 나왔니,뉴스
불법 뉴스,뉴스
나온 뉴스 알려줘,뉴스
나온 신문 읽어줘,뉴스
신문 읽어즐래,뉴스
나온 뉴스 들려줘,뉴스
나온 기사 읽어줄래,뉴스
나왔던 기사 읽어줘,뉴스
사건 알려줄래,뉴스
뉴스에서 뭐라고 했니,뉴스
사건 알려주라,뉴스
사건 알려줘,뉴스
사건 뉴스 알려줘,뉴스
사건 뉴스,뉴스
사건 뉴스 알려줄래,뉴스
누군지 알려줘,뉴스
사건 무슨 들려줘,뉴스
사건 무슨 전해줘,뉴스
사건 무슨 사건인지,뉴스
살인 사건 무슨,뉴스
사건 무슨 일있니,뉴스
가사 신문 읽어줘,뉴스
단독 뉴스 전해줘,뉴스
연예 뉴스 전해줘,뉴스
아이티 뉴스 전해줘,뉴스
정치 뉴스 전해줘,뉴스
주요 뉴스 들려줘,뉴스
정치 기사 전해줘,뉴스
단독 신문 전해줘,뉴스
주요 기사 알려줘,뉴스
핫한 신문 알려줄래,뉴스
요즘 기사 전해줘,뉴스
최근 신문 전해줘,뉴스
주요 기사 들려줘,뉴스
사건 전해줘요,뉴스
뉴스 알려줘요,뉴스
뉴스 알려줄래요,뉴스
소식 전해줘요,뉴스
뉴스 전해줘요,뉴스
뉴스 들려줘요,뉴스
기사 전해줘요,뉴스
신문 전해줘요,뉴스
기사 알려줘요,뉴스
신문 알려줄래요,뉴스
기사 들려줘요,뉴스
뉴스 요,뉴스
최근 뉴스 들려줘요,뉴스
속보 뉴스 알려줘요,뉴스
주요 뉴스 알려줘요,뉴스
뉴스 뭐니요,뉴스
뉴스 나왔니요,뉴스
뉴스 나왔었니요,뉴스
티비 나왔니요,뉴스
불법 뉴스요,뉴스
신문 읽어즐래요,뉴스
나온 뉴스 들려줘요,뉴스
나온 기사 읽어줄래요,뉴스
사건 알려주세요,뉴스
나온 뉴스요,뉴스
사건 들려줘요,뉴스
누군지 알려줘요,뉴스
사건 무슨 들려줘요,뉴스
사건 무슨 전해줘요,뉴스
사건 무슨 사건인지요,뉴스
살인 사건 무슨요,뉴스
사건 무슨 일있니요,뉴스
가사 신문 읽어줘요,뉴스
단독 뉴스 전해줘요,뉴스
특보 뉴스 전해줘요,뉴스
정치 뉴스 전해줘요,뉴스
주요 뉴스 들려줘요,뉴스
정치 기사 전해줘요,뉴스
핫한 신문 알려줄래요,뉴스
사건 무슨 전해주세요,뉴스
사건 무슨 사건인지요,뉴스
살인 사건 무슨요,뉴스
사건 무슨 일있니요,뉴스
가사 신문 읽어주세요,뉴스
단독 뉴스 전해주세요,뉴스
정치 뉴스 전해주세요,뉴스
주요 뉴스 들려주세요,뉴스
정치 기사 전해주세요,뉴스
단독 신문 전해주세요,뉴스
요즘 기사 전해주세요,뉴스
최근 신문 전해주세요,뉴스
주요 기사 들려주세요,뉴스
춤 춰줘,댄스
댄스 댄스,댄스
댄스 춰줘,댄스
너 춤 춰,댄스
춤 춰라,댄스
춤 춰,댄스
춤 추라고,댄스
춤 출래,댄스
춤 춰라,댄스
춤 추라고 했어,댄스
댄스 춰줄래,댄스
현란한 댄스 춰줘,댄스
춤 부탁해,댄스
댄스 추라 했다,댄스
댄스 춰달라고,댄스
댄스 추라고,댄스
댄스 춰줘,댄스
댄스 춰줄래,댄스
춤 춰줄래,댄스
춤 춰주세요,댄스
춤춰줘,댄스
제일 좋아하는 춤 춰줄래,댄스
댄스 타임,댄스
제일 좋아하는 댄스 춰줘,댄스
잘추는 춤 줘줘,댄스
춤춰줄수있니,댄스
춤춰주라,댄스
지금은 댄스 타임,댄스
댄스 댄스,댄스
춤 춰주라,댄스
댄스 춰줘,댄스
춤 춰줄수있니,댄스
춤한번 춰볼래,댄스
댄스 한번 보여줘,댄스
춤 한번 보여줘봐,댄스
춤춰볼래,댄스
댄스 춰줘,댄스
춤 춰줘요,댄스
댄스 댄스요,댄스
댄스 춰줘요,댄스
너 춤 춰요,댄스
춤 춰주세요,댄스
춤 춰요,댄스
춤 추라고요,댄스
춤 출래요,댄스
춤 춰주세요,댄스
춤 추라고 했어요,댄스
댄스 춰줄래요,댄스
현란한 댄스 춰줘요,댄스
춤 부탁해요,댄스
댄스 추라 했다요,댄스
댄스 춰달라고요,댄스
댄스 추라고요,댄스
댄스 춰줘요,댄스
댄스 춰줄래요,댄스
춤 춰줄래요,댄스
춤 춰주세요요,댄스
춤춰줘요,댄스
제일 좋아하는 춤 춰줄래요,댄스
댄스 타임요,댄스
제일 좋아하는 댄스 춰줘요,댄스
잘추는 춤 줘줘요,댄스
춤춰줄수있니요,댄스
춤춰주주세요,댄스
지금은 댄스 타임요,댄스
댄스 댄스요,댄스
춤 춰주주세요,댄스
댄스 춰줘요,댄스
춤 춰줄수있니요,댄스
춤한번 춰볼래요,댄스
댄스 한번 보여줘요,댄스
춤 한번 보여줘봐요,댄스
춤춰볼래요,댄스
댄스 춰줘요,댄스
맛 집 추천해줘,맛집
음식점 추천해줘,맛집
맛 집 추천해주라,맛집
음식점 추천해주라,맛집
맛 집 알려줘,맛집
음식점 알려줘,맛집
맛난 음식 알려주라,맛집
충주 맛 집 알려줘,맛집
맛있는 음식 알려주라,맛집
부산 맛 집 알려줘,맛집
김치 음식 알려줘,맛집
라면 음식 알려줘,맛집
고기 음식 말해,맛집
이런 음식 알려줘,맛집
먹을 음식 알려주라,맛집
대전 피자 맛 집 어디 있니,맛집
맛 집 어디 있지,맛집
떡갈비집 어디 맛있어,맛집
어디 맛있어,맛집
어디 맛있니,맛집
어디 맛있니,맛집
군산 맛 집 말해줘,맛집
거기 맛 집 어디야,맛집
전주 맛 집 어디 있어,맛집
서울 맛 집 어디야,맛집
부산 맛 집 어디 있냐,맛집
광명 맛 집 말해줘,맛집
산천 맛 집 말해줘,맛집
대전 맛있는 음식점 알려줘,맛집
마포구 맛 집 어디야,맛집
구로구 음식점 추천 좀,맛집
맛있는 음식점 알려줘,맛집
마포구 맛 집 말해줘,맛집
음식점 추천 좀,맛집
맛있는 음식점 알려줘,맛집
마포구 맛 집 말해줘,맛집
음식점 추천 좀 해줘,맛집
뭐 먹을까요,맛집
서울 맛 집 추천해줘요,맛집
맛난 음식 추천해주세요,맛집
충주 맛 집 추천해줘요,맛집
맛있는 음식 추천해주세요,맛집
부산 맛 집 추천해줘요,맛집
김치 맛 집 추천해줘요,맛집
라면 음식 추천해주세요,맛집
고기 음식 추천해줘요,맛집
이런 음식 추천해줘요,맛집
먹을 맛 집 추천해주세요,맛집
서울 맛 집 알려줘요,맛집
맛난 음식 알려주세요,맛집
충주 맛 집 알려줘요,맛집
맛있는 음식 알려주세요,맛집
대전 피자 맛 집 어디 있죠,맛집
맛 집 어디 있지요,맛집
전주 맛 집 어디에요,맛집
서울 맛 집 말해줘,맛집
부산 맛 집 어디에요,맛집
광명 맛 집 어디에요,맛집
산천 맛 집 어디지,맛집
대전 맛있는 음식점 알려줘요,맛집
마포구 맛 집 어디에요,맛집
구로구 음식점 추천 좀요,맛집
맛있는 음식점 알려줘요,맛집
마포구 맛 집 어디에요,맛집
음식점 추천 좀요,맛집
맛있는 음식점 알려줘요,맛집
마포구 맛 집 어디에요,맛집
음식점 추천 좀 해줘요,맛집
공기 좋아,먼지
공기 상태 좋니,먼지
공기 어때,먼지
미세먼지 좋니,먼지
먼지 어떠니,먼지
양양 오늘 미세먼지 알려줘,먼지
강릉 오늘 공기 어떠니 알려줄래,먼지
속초의 오늘 미세먼지는 어떨까,먼지
다다음 주 미세먼지 어때보여,먼지
오늘 공기상태 알려줘,먼지
오늘 먼지 좀 알려줄래,먼지
이번 주 속초 미세먼지 어때,먼지
미세먼지 어떠니 좋니,먼지
4월 12일 공기 상태 어때,먼지
이번 주 미세먼지 알려줘,먼지
다음 주 먼지 어때,먼지
이번 주 미세먼지 상태 알려줄래,먼지
다음 주 공기 상태 알려줘,먼지
오늘 미세먼지 알려줘,먼지
주말 미세먼지 알려줘,먼지
이번 주 공기 상태는,먼지
이번 주 광명 미세먼지상태 알려줘,먼지
오늘 하늘 어떤지 알려주라,먼지
내일 미세먼지 어때,먼지
이번 주 미세먼지 어때,먼지
다음 주 미세먼지 알려줘,먼지
이번주 미세먼지 줘,먼지
다음주 미세먼지 알려줄래,먼지
오늘 미세먼지좀 알려줄래,먼지
내일 미세먼지 알려줘,먼지
이번 주 미세먼지는,먼지
이번 주 광명 미세먼지 알려줘,먼지
오늘 미세먼지 좋니,먼지
오늘 미세먼지 어때,먼지
공기 상태 좀 알려줄 수 있겠니,먼지
공기 상태 어떠니 좋니,먼지
오늘 공기 상태 좋니,먼지
오늘 마스크 써야하니,먼지
경주 공기 상태 좋아,먼지
공기 상태 어떤지 말해줄수 있을까,먼지
마스크 쓸까,먼지
마스크 쓰는게 좋니,먼지
마스크 쓰는 것이 좋을까,먼지
오늘 대전 마스크 써야할까,먼지
마스크 쓰는 게 좋니,먼지
마스크를 써야 할까,먼지
내일 제주 공기 상태 보면 마스크 써야하니,먼지
완산구 마스크는 써야할까,먼지
오늘 공기 상태좀 알려줄래,먼지
내일 공기 상태 알려줘,먼지
다음 주 논산 미세먼지 알려줘,먼지
3월 15일 미세먼지 알려줘,먼지
9월 12일 대구 미세먼지 알려줄래,먼지
미세먼지 좀 알려줄 수 있겠니,먼지
공기 상태 좋아,먼지
내일 안산 마스크 쓰는게 좋니,먼지
