어제 했었니,과거질문
그제 했었냐,과거질문
저번 주에 했니,과거질문
전에 했었냐,과거질문
그 때 했니,과거질문
전에 한 번 했니,과거질문
저번 달에 몇 번 했니,과거질문
그 때 했었냐,과거질문
전에 했었냐,과거질문
옛날에 했니,과거질문
예전에는 했었냐,과거질문
예전엔 했니,과거질문
전에 그랬었니,과거질문
옛날에 그랬었습니까,과거질문
전에 그랬지,과거질문
예전에는 그러긴 했니,과거질문
옛날에 그러긴 했었냐,과거질문
저번 달에 그랬어,과거질문
저번에 그랬어,과거질문
저번에는 그랬었는데,과거질문
그랬었긴 했니,과거질문
그랬었냐,과거질문
그러긴 했었냐 전에,과거질문
한 번 했니 전에,과거질문
몇 번 했니 저번 달에,과거질문
했었냐 그 때,과거질문
했었냐 전에,과거질문
했니 옛날에,과거질문
했었냐 예전에는,과거질문
했니 예전엔,과거질문
그랬었냐 전에,과거질문
그래보기도 했니 저번 달에,과거질문
그래봤어 저번에,과거질문
그래봤었는데 저번에는,과거질문
그래보기도 했었긴 했니,과거질문
그래봤었니,과거질문
그러긴 해봤어 전에,과거질문
한 번 했니 전에,과거질문
몇 번 했니 저번 달에,과거질문
해보기도 했니 그 때,과거질문
해봤어 전에,과거질문
했니 옛날에,과거질문
해보기도 했니 예전에는,과거질문
했니 예전엔,과거질문
그래봤었냐 전에,과거질문
어제 했었죠,과거질문
그제 했었나요,과거질문
저번 주에 했죠,과거질문
당연히 했었나요,과거질문
당근 했죠,과거질문
전에 한 번 했죠,과거질문
저번 달에 몇 번 했니요,과거질문
그 때 했었죠,과거질문
전에 했었나요,과거질문
옛날에 했나요,과거질문
예전에는 했었나요,과거질문
예전엔 했죠,과거질문
전에 그랬었니요,과거질문
옛날에 그랬었나요,과거질문
전에 그랬죠,과거질문
예전에는 그러긴 했나요,과거질문
옛날에 그러긴 했었나요,과거질문
저번 달에 그랬죠,과거질문
저번에 그랬나요,과거질문
저번에는 그랬었는데요,과거질문
그랬었긴 했죠,과거질문
그랬었나요,과거질문
그러긴 했었냐 전에요,과거질문
한 번 했니 전에요,과거질문
몇 번 했니 저번 달에요,과거질문
했었냐 그 때요,과거질문
했었냐 전에요,과거질문
했니 옛날에요,과거질문
했었냐 예전에는요,과거질문
했니 예전엔요,과거질문
그랬었니 전에요,과거질문
그래보기도 했니 저번 달에요,과거질문
그래봤어 저번에요,과거질문
그래봤었는데 저번에는요,과거질문
그래보기도 했었긴 했죠,과거질문
그래봤었죠,과거질문
그러긴 해봤어 전에요,과거질문
한 번 했니 전에요,과거질문
몇 번 했니 저번 달에요,과거질문
해보기도 했니 그 때요,과거질문
해봤어 전에요,과거질문
했니 옛날에요,과거질문
해보기도 했니 예전에는요,과거질문
했니 예전엔요,과거질문
그래봤었냐 전에요,과거질문
어제 했었습니까,과거질문
그제 했었습니까,과거질문
저번 주에 했습니까,과거질문
당연히 했었습니까,과거질문
당근 했습니까,과거질문
전에 한 번 했습니까,과거질문
저번 달에 몇 번 했습니까,과거질문
그 때 했었습니까,과거질문
전에 했었습니까,과거질문
옛날에 했었습니까,과거질문
예전에는 했었습니까,과거질문
예전엔 했습니까,과거질문
전에 그랬었습니까,과거질문
옛날에 그랬었습니까,과거질문
전에 그랬습니까,과거질문
예전에는 그러긴 했었습니까,과거질문
옛날에 그러긴 했었습니까,과거질문
저번 달에 그랬습니까,과거질문
저번에 그랬었습니까,과거질문
저번에는 그랬었는데 이렇습니까,과거질문
저번에는 그랬었는데 그렇습니까,과거질문
저번에 했었는데 저렇습니까,과거질문
저번에 그랬었는데 저렇네요,과거질문
그랬었긴 했습니까,과거질문
그랬었습니까,과거질문
그러긴 했었냐 전에는 했나요,과거질문
한 번 했니 전에는 했나요,과거질문
몇 번 했니 저번 달에는 했나요,과거질문
했었냐 그 땐,과거질문
했었냐 전에는 했나요,과거질문
했니 옛날에는 했나요,과거질문
했었냐 예전에는 그랬나요,과거질문
했니 예전엔 그랬습니까,과거질문
그랬었니 전에는 했나요,과거질문
그래보기도 했니 저번 달에는 했나요,과거질문
그래봤어 저번에 했나요,과거질문
그래봤었는데 저번에는 그랬나요,과거질문
그래보기도 했었긴 했습니까,과거질문
그래봤었습니까,과거질문
그러긴 해봤어 전에 했나요,과거질문
한 번 했니 전에 했나요,과거질문
몇 번 했니 저번 달엔 했나요,과거질문
해보기도 했니 그 땐,과거질문
해봤어 전엔 했나요,과거질문
했니 옛날엔 했나요,과거질문
해보기도 했니 예전에는 그랬나요,과거질문
했니 예전엔 그랬습니까,과거질문
그래봤었냐 전엔 했나요,과거질문
